#pid, name, gender, generation, byear, dyear, dage, myear, mage, ptype, clan, spouseId, parentId1, parentId2, parentNodeId
0,Borá,M,0,1000,1245,245,1043,43,ESFJ,4,,,,-1
1,Dís,F,0,1010,1340,330,1043,33,ENFP,4,0,,,0
2,Bin,M,1,1043,1322,279,1080,37,ESTJ,4,,0,1,1
3,Binilin,M,1,1052,1275,223,1095,43,ESTP,4,,0,1,1
4,Gróin,M,1,1059,1265,206,1099,40,ESTP,4,,0,1,1
5,Dís,F,1,1068,1311,243,1104,36,ENTP,4,,0,1,1
6,Borini,M,1,1094,1371,277,1129,35,ESTP,4,,0,1,1
7,Tho,M,1,1109,1208,99,,,ENFJ,4,,0,1,1
8,Dís,F,1,1169,1484,315,1199,30,ESFP,4,,0,1,1
9,Dís,F,1,1057,1282,225,1080,23,ESFP,0,2,,,2
10,Narái,M,2,1080,1375,295,,,ESFJ,4,,2,9,9
11,Nár,M,2,1096,1344,248,,,ESTJ,4,,2,9,9
12,Dís,F,2,1108,1381,273,1134,26,ENFJ,0,,2,9,9
13,Bor,M,2,1146,1174,28,,,ESFP,4,,2,9,9
14,Gróini,M,1,1074,1282,208,1104,30,ISFP,5,5,,,5
15,Norin,M,2,1104,1360,256,1138,34,ESTJ,5,,5,14,14
16,Nori,M,2,1116,1377,261,,,ESTJ,5,,5,14,14
17,Frói,M,2,1129,1410,281,,,ESFJ,5,,5,14,14
18,Dís,F,2,1144,1325,181,1175,31,ESTJ,4,,5,14,14
19,Dís,F,1,1059,1288,229,1095,36,ESTJ,5,3,,,3
20,Dís,F,2,1095,1387,292,1121,26,ENFP,5,,3,19,19
21,Fun,M,2,1109,1332,223,,,ESFP,4,,3,19,19
22,Nomli,M,2,1121,1349,228,,,ENTJ,4,,3,19,19
23,Bor,M,2,1158,1381,223,1206,48,ENFJ,4,,3,19,19
24,Borin,M,2,1204,1319,115,,,ESTJ,4,,3,19,19
25,Dís,F,1,1066,1341,275,1099,33,ESTP,4,4,,,4
